Tarih,Şimdi,Açılış,Yüksek,Düşük
16.04.2018,"50,710","50,493","50,954","50,439"
13.04.2018,"50,519","50,667","50,779","50,180"
12.04.2018,"50,667","51,150","51,472","50,261"
11.04.2018,"51,150","50,809","51,938","50,724"
10.04.2018,"50,809","50,185","51,180","49,899"
09.04.2018,"50,185","49,638","50,250","49,520"
06.04.2018,"49,684","49,590","49,768","49,375"
05.04.2018,"49,590","49,099","49,641","49,059"
04.04.2018,"49,101","48,944","49,491","48,903"
03.04.2018,"48,944","48,884","49,123","48,773"
02.04.2018,"48,882","48,729","48,992","48,675"
30.03.2018,"48,738","48,498","48,832","48,470"
29.03.2018,"48,494","49,361","49,507","48,340"
28.03.2018,"49,359","49,387","49,660","49,269"
27.03.2018,"49,387","49,350","49,601","49,277"
26.03.2018,"49,344","49,173","49,643","48,899"
23.03.2018,"49,194","48,398","49,740","48,383"
22.03.2018,"48,400","48,223","48,558","48,169"
21.03.2018,"48,226","48,157","48,412","48,017"
20.03.2018,"48,159","48,553","48,716","48,099"
19.03.2018,"48,553","48,148","48,708","48,075"
16.03.2018,"48,138","47,934","48,311","47,896"
15.03.2018,"47,934","47,979","48,230","47,882"
14.03.2018,"47,979","47,994","48,126","47,704"
13.03.2018,"47,994","47,413","48,056","47,272"
12.03.2018,"47,409","46,843","47,506","46,841"
09.03.2018,"46,903","47,074","47,157","46,781"
08.03.2018,"47,076","47,195","47,428","47,004"
07.03.2018,"47,174","47,063","47,350","47,027"
06.03.2018,"47,063","46,980","47,168","46,821"
05.03.2018,"46,981","46,929","47,157","46,828"
02.03.2018,"46,894","46,686","47,128","46,607"
01.03.2018,"46,685","46,325","46,783","46,287"
28.02.2018,"46,323","46,676","46,708","46,294"
27.02.2018,"46,676","46,629","46,796","46,485"
26.02.2018,"46,630","46,574","46,718","46,501"
23.02.2018,"46,599","46,662","46,713","46,482"
22.02.2018,"46,662","46,542","46,836","46,503"
21.02.2018,"46,546","46,865","46,989","46,523"
20.02.2018,"46,862","46,619","47,077","46,500"
19.02.2018,"46,618","46,495","46,754","46,422"
16.02.2018,"46,490","47,078","47,324","46,431"
15.02.2018,"47,078","47,090","47,239","46,961"
14.02.2018,"47,090","47,069","47,245","46,768"
13.02.2018,"47,069","46,706","47,122","46,645"
12.02.2018,"46,706","46,841","46,906","46,548"
09.02.2018,"46,770","46,806","47,019","46,688"
08.02.2018,"46,803","46,661","46,978","46,504"
07.02.2018,"46,665","46,654","46,816","46,428"
06.02.2018,"46,655","46,873","47,111","46,491"
05.02.2018,"46,873","46,954","47,045","46,640"
02.02.2018,"47,023","46,684","47,063","46,638"
01.02.2018,"46,681","46,620","46,812","46,470"
31.01.2018,"46,646","46,892","46,982","46,528"
30.01.2018,"46,892","46,972","47,074","46,749"
29.01.2018,"46,972","46,661","47,017","46,469"
26.01.2018,"46,638","46,512","46,766","46,450"
25.01.2018,"46,518","46,386","46,831","46,254"
24.01.2018,"46,386","46,334","46,523","46,180"
23.01.2018,"46,334","46,289","46,544","46,225"
22.01.2018,"46,281","47,080","47,217","46,194"
19.01.2018,"46,521","46,135","46,711","46,060"
18.01.2018,"46,140","46,526","46,613","45,951"
17.01.2018,"46,529","46,563","46,856","46,465"
16.01.2018,"46,565","46,610","46,971","46,170"
15.01.2018,"46,608","45,718","46,693","45,689"
12.01.2018,"45,680","45,412","45,794","45,336"
11.01.2018,"45,410","45,420","45,738","45,175"
10.01.2018,"45,391","44,978","45,718","44,930"
09.01.2018,"44,978","44,823","45,078","44,749"
08.01.2018,"44,809","44,887","45,098","44,766"
05.01.2018,"44,954","45,230","45,379","44,910"
04.01.2018,"45,231","45,428","45,526","45,140"
03.01.2018,"45,432","45,419","45,630","45,093"
02.01.2018,"45,423","45,496","45,611","45,239"
01.01.2018,"45,488","45,488","45,566","45,443"
29.12.2017,"45,473","45,084","45,635","45,040"
28.12.2017,"45,084","45,358","45,663","44,961"
27.12.2017,"45,360","45,205","45,570","45,122"
26.12.2017,"45,205","45,187","45,325","45,038"
25.12.2017,"45,190","45,177","45,386","45,040"
22.12.2017,"45,249","45,333","45,384","45,042"
21.12.2017,"45,327","45,351","45,543","45,227"
20.12.2017,"45,352","45,390","45,569","45,272"
19.12.2017,"45,390","45,124","45,496","45,068"
18.12.2017,"45,124","45,387","45,575","45,080"
15.12.2017,"45,391","45,779","45,846","45,314"
14.12.2017,"45,780","45,082","46,056","45,052"
13.12.2017,"45,082","45,182","45,426","44,956"
12.12.2017,"45,182","45,154","45,271","44,922"
11.12.2017,"45,154","45,178","45,296","45,005"
08.12.2017,"45,161","45,481","45,595","44,977"
07.12.2017,"45,481","45,432","45,729","45,385"
06.12.2017,"45,421","45,463","45,760","45,325"
05.12.2017,"45,464","45,970","46,080","45,340"
04.12.2017,"45,970","46,492","46,843","45,751"
01.12.2017,"46,531","46,652","47,057","46,464"
30.11.2017,"46,652","46,930","47,011","46,510"
29.11.2017,"46,931","46,944","47,109","46,751"
28.11.2017,"46,945","46,476","47,217","46,430"
27.11.2017,"46,476","47,056","47,207","46,350"
24.11.2017,"47,050","46,459","47,210","46,298"
23.11.2017,"46,459","46,324","46,721","46,179"
22.11.2017,"46,324","46,442","46,778","46,259"
21.11.2017,"46,442","46,096","46,734","45,990"
20.11.2017,"46,096","45,717","46,323","45,282"
17.11.2017,"45,732","45,469","46,060","45,398"
16.11.2017,"45,467","45,764","45,892","45,336"
15.11.2017,"45,764","45,847","46,131","45,727"
14.11.2017,"45,847","45,161","45,953","45,106"
13.11.2017,"45,157","45,145","45,378","44,805"
10.11.2017,"45,069","44,993","45,165","44,877"
09.11.2017,"44,991","44,831","45,218","44,531"
08.11.2017,"44,834","45,009","45,244","44,683"
07.11.2017,"45,007","44,443","45,124","44,403"
06.11.2017,"44,444","45,121","45,198","44,316"
03.11.2017,"45,118","44,272","45,173","44,250"
02.11.2017,"44,269","44,303","44,602","44,197"
01.11.2017,"44,303","44,162","44,576","44,063"
31.10.2017,"44,162","44,037","44,428","43,810"
30.10.2017,"44,039","44,009","44,137","43,670"
27.10.2017,"43,985","44,506","44,674","43,905"
